,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"1,741.59","1,180,990.99",44.21,6.84,93.29,"1,296.23","1,184,173.15","8,316.68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,316.68","1,210.43",0,,,0,0,,0,0,"1,210.43","9,527.11",151.51,1.06,64,1.21,65.81,62.99,9.92,4.33,106.59,32.12,0,0,499.54,"5,673.11",,,"2,623.51",,269.43,,,"5,673.11","2,623.51",269.43,"8,566.05",,-,492.56,,492.56,"1,203,258.41",,Bangladesh,"11,122.74","464,203.90",0,0,0,"1,197.49","476,524.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.94,0.13,16.25,0.04,10.89,8.55,3.15,0.2,25.65,7.75,104.55,846.98,,,425.16,,51.5,,,846.98,425.16,51.5,"1,323.64",,0,,0,4.06,,4.06,"477,956.37"
Barbados,19.14,58.52,0,0,0,0.06,77.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,7.87,0.17,5.91,0.03,0.4,5.06,0.48,0.22,0.32,1.99,0.83,0.02,23.29,,,,,,,,,-,-,-,-,,-,,,-,101,,Barbados,193.24,0,0,0,0,0.34,193.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,1.18,3.96,0,0,0,1.79,0.68,1.49,3.83,20.1,,,,,,,,,0,0,0,0,,0,,0,,,0,213.68
Belarus,589.99,"23,563.78",45.68,7.07,98.93,56.41,"24,361.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,302.5,0.68,128.77,2.3,130.94,125.11,20.03,7.36,215.41,65.15,0,0,998.27,,,,,,,,,-,-,-,-,,-,,,-,"25,360.13",,Belarus,632.12,"16,544.80",795.35,123.13,"1,189.11",109.1,"19,393.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.08,0,97.62,0,65.48,50.98,18.73,0,154.55,46.05,624.47,,,,,,,,,0,0,0,0,,0,,0,,,0,"20,018.09"
Belgium,167.17,"3,497.07",3.24,0.5,8.25,0.28,"3,676.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,8.54,1.17,3.12,0.1,4.34,2.83,0,1.1,4.57,0.01,0,0,25.78,,,,,,,,,-,-,-,-,,-,,,-,"3,702.30",,Belgium,126.38,"2,277.59",2.99,0.46,3.65,0.39,"2,411.46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,411.46"
Belize,80.89,481.95,0,0,0,0.39,563.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,,,0,0,,0,0,3.05,3.05,107.48,2.22,81.49,0.55,5.27,69.31,6.32,3.1,4.61,26.46,11.02,0.33,318.15,,,,,,,,,-,-,-,-,,-,,,-,884.44,,Belize,0,0,0.29,0.05,0.39,3.65,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,19.6,19.6,175.09,28.09,97.59,0,0,0,42.98,16.32,35.63,92.38,488.08,,,,,,,,,0,0,0,0,,0,,0,,,0,512.06
Benin,"10,743.57","88,294.70",4.91,0.76,11.49,1.41,"99,056.84","1,113,537.79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,113,537.79",0,0,,,0,0,,0,0,0,"1,113,537.79","1,339.73",26.73,561.33,10.88,592.6,536.05,76.13,50.51,925.3,248.89,0,0,"4,368.15",,,,,,,,,-,-,-,-,724.42,724.42,,11.47,11.47,"1,217,698.67",,Benin,"8,861.17","66,416.18",1.42,0.22,9.55,103.22,"75,391.76","172,402.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"172,402.33",0,0,0,0,0,0,0,0,0,0,"172,402.33",306.33,1.16,157.91,0.34,104.32,79.04,28.93,1.77,248.23,71.27,999.29,,,,,,,,,0,0,0,0,549.24,549.24,0.48,0.48,,11.13,11.13,"249,354.23"
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.11,0.38,0,0,0,0.17,0.06,0.14,0.36,1.91,,,,,,,,,0,0,0,0,,0,,0,,,0,1.91
Bhutan,962.64,"4,927.60",1.56,0.24,3.27,1.07,"5,896.39",14.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.82,17.93,0,,,0,0,,0,0,17.93,32.75,5.43,0.03,2.29,0.04,2.35,2.29,0.37,0.16,3.81,1.18,0,0,17.97,,,,,,,,,-,-,-,-,,-,,,-,"5,947.10",,Bhutan,2.18,"3,446.75",15.11,2.34,20.5,0.83,"3,487.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,1.32,0,0.88,0.69,0.25,0,2.09,0.62,8.45,,,,,,,,,0,0,0,0,,0,,0,,,0,"3,496.16"
Bolivia,"3,280.66","68,180.76",0,0,0,47.24,"71,508.65",0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,3.24,44.5,0,,,0,0,,0,0,44.5,47.74,882.3,19.98,645.79,1.52,47.62,566.01,56.54,23.02,28.2,236.83,98.81,0.9,"2,607.52",,,,21.97,3.82,,,,-,25.79,-,25.79,,-,,,-,"74,189.71",,Bolivia,491.17,"23,536.36",3.18,0.49,10.41,29.66,"24,071.27",0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,8.51,49.4,0,0,0,0,0,0,0,0,49.4,57.91,143.26,21.79,81.82,0,0,0,34.03,12.69,27.83,73.68,395.09,,,,419.73,47.01,,,,0,466.74,0,466.74,,0,,0,,,0,"24,991.00"
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
